(애)호박전,(ae)hobak-jeon
치킨무,chikinmu
치킨텐더,chikintendeo
카레라이스,kalelaiseu
칼국수,kal-guksu
캘리포니아롤,kaelliponiarol
케밥,kebab
코다리찜,kodari-jjim
콘치즈,konchijeu
콩국수,kong-guksu
콩나물냉채,kong-namul-naengchae
콩나물무침,kongnamulmuchim
콩나물밥,kongnamulbab
콩나물해장국,kongnamul-haejang-guk
콩자반,kong-jaban
크레이프케이크,keuleipeukeikeu
크레페,keurepe
크로와상,keurowasang
크림파스타,keulimpaseuta
타코야끼,takoyakki
탕수육,tangsuyuk
토란국,tolangug
토마토계란볶음,tomatogyelanbokk-eum
토스트,toast
튀각(부각),twigak(bugak)
티라미수,tiramisu
파김치,pa-gimchi
파르페,pareupe
파스타(토마토),paseuta(tomato)
파전,pajeon
팥빙수,patbingsu
팥죽,patjuk
팥칼국수,pat-kal-guksu
페퍼로니피자,pepeolonipija
표고전,pyogojeon
푸딩,puding
풋고추전,pusgochujeon
피자,pija
프레첼,beurechel
함박스테이크,hambag-seuteikeu
핫도그,hotdog
핫바,hasba
해물전골,Haemul-jeongol
해물탕,haemultang
해쉬브라운,haeswibeulaun
해파리냉채,haepari-naengchae
햄버거,haembeogeo
허니브레드,heonibeuredeu
호두과자,hodugwaja
호떡,hotteok
호박무침,hobagmuchim
호박잎찜,hobag-ipjjim
호박죽,hobak-juk
홍어(회)무침,hongeo(hoe)-muchim
홍합탕,honghab-tang
화전,hwajeon
황남빵,hwangnamppang
라멘,lamen
황태구이,hwangtae-gui
회덮밥,hoe-deopbab
곤약장아찌,gon-yagjang-ajji
오이장아찌,oijang-ajji
후렌치후라이,hulenchihulai
무순,musun
고구마치즈볼,gogumachijeubol
훠궈,hwogwo
봉골레파스타,bong-gollepaseuta
알리오올리오,allioollio
방울토마토,bang-ultomato
사과,apple
연근구이,yeongeungu-i
김자반,gimjaban
텐동,tendong
우동국,udong-gug
양배추절임,yangbaechujeol-im
매실장아찌,maesiljang-ajji
멸치구이,myeolchigui
조개구이,jogaegu-i
칠리소스,chillisoseu
단호박튀김,danhobagtwigim
관자버터구이,gwanjabeoteogu-i
돌나물무침,dolnamulmuchim
바나나,banana
멍게,meong-ge
과일빙수,gwail-bingsu
고등어구이,godeungeo-gui
해삼,haesam
망고,mango
파인애플,pineapple
된장,doenjang
부추,buchu
양파,onion
고추,gochu
찹쌀도넛,chabssaldoneos
깻잎,kkaes-ip
샤브샤브,syabeusyabeu
쌈채소,ssamchaeso
게살비빔밥,gesalbibimbab
돼지간,dwaejigan
갈은무,gal-eunmu
우유,uyu
치즈스틱,chijeuseutig
딸기우유,ttalgiuyu
오렌지,orange
먹물빠에야,meogmulppa-eya
순대볶음,sundaebokk-eum
토마토,tomato
스콘,seukon
파운드케이크,paundeukeikeu
오징어채볶음,ojingeochae-bokkeum
전복장,jeonbogjang
초코쿠키,chokokuki
피클,pickle
커피,keopi
와사비,wasabi
깻잎무침,kkaesipmuchim
번데기,beondegi
시리얼,serial
무장아찌,mu-jangajji
꽁치구이,kkongchi-gui
포도,grape
귤,gyul
청포도,cheongpodo
고추장아찌,gochujangajji
꽃빵,kkochppang
간장,ganjang
초장,chojang
파채,pachae
캔참치,kaenchamchi
키위,kiwi
케찹,kechab
양갈비,yang-galbi
미나리,minali
겨자,gyeoja
감자샐러드,potato-salad
무쌈말이,mussammal-i
풋고추,green chilli
파프리카,papeulika
도라지무침,dolajimuchim
취나물무침,chwinamulmuchim
콘샐러드,corn-salad
어묵,eomug
무볶음,mubokk-eum
쥐포무침,jwipomuchim
배추전,baechujeon
블루베리,blueberry
계란볶음밥,gyelanbokk-eumbab
수박,subag
숙주나물무침,sugjunamulmuchim
김치볶음,gimchibokk-eum
어묵,eomug
알밥,albab
연두부샐러드,yeondubusaelleodeu
옥수수,corn
마카로니뻥튀기,makalonippeongtwigi
완두콩,wandukong
곱창볶음,gobchangbokkeum
칵테일새우,kagteilsaeu
당근,dang-geun
찹스테이크,chabseuteikeu
어리굴젓,eoliguljeos
돼지목살구이,grilled pork chops
배춧국,baechutkuk
쌈무,ssammu
돼지불백,dwaejibulbaeg
팝콘,popcorn
달래무침,dallaemuchim
오렌지,Orange
레몬,lemon
컵케이크,cupcake
수란,suran
펜네파스타,Penne-Pasta
양념새우,yangnyeom-saeu
메추리알,quail-egg
황도,hwangdo
시래기국,sireagikuk
텐동,tendong
브리또,beulitto
할라피뇨,hallapinyo
생강초절임,saeng-gangchojeol-im
스테이크덮밥,steak-deopbab
치즈,chijeu
연어말이,yeon-eomal-i
랍스터찜,labseuteojjim
감자,gamja
연어장,yeoneojang
규카츠,gyukacheu
시래기무침,silaegimuchim
마카로니샐러드,makaloni-saelleodeu
요거트,yogurt
꼬막비빔밥,kkomagbibimbab
과매기,gwamaegi
기름장,gileumjang
패션프루트,passionfruit
생크림케이크,saengkeulimkeikeu
순두부,sundubu
미역,miyeog
산낙지,sannagji
자몽,jamong
오븐스파게티,Ovenspaghetti
로제파스타,lojepaseuta
볶음우동,bokk-eum-udong
칠리새우,chillisaeu
두부김치,dubugimchi
케이크,cake
팬케이크,paenkeikeu
바질파스타,bajilpaseuta
강냉이,gangnaeng-i
반미,banmi
반세오,banse-o
분짜,bunjja
고수,gosu
볶음쌀국수,bokk-eumssalgugsu
그린빈볶음,geulinbinbokk-eum
오징어찌개,ojing-eojjigae
스프,seupeu
닭가슴살덮밥,dalg-gaseumsaldeopbab
초코식빵,choko-sigppang
식빵,sigppang
마늘바게트,maneulbageteu
단팥빵,danpatppang
슈크림빵,syukeulimppang
완두앙금빵,wanduang-geumppang
견과류,nuts
감,gam
생크림빵,saengkeulimppang
피자빵,pijappang
치아바타,chiabata
부추빵,buchuppang
딸기잼,ttalgijaem
커피번,keopibeon
무화과,muhwagwa
복숭아,bogsung-a
참외,cham-oe
배,pear
닭가슴살볶음,dalg-gaseumsalbokk-eum
고구마샐러드,gogumasaelleodeu
쌈밥,ssambab
멜론,melon
아보카도,abocado
가지구이,gajigui
파절이,pajeol-i
흑미밥,heugmibab
대파,daepa
콩나물국,kongnamulgug
꼬막무침,kkomagmuchim
오징어무국,ojing-eomugug
카레우동,kaleudong
우동,udong
메추리알장조림,mechulial-jangjolim
소세지볶음,soseji-bokk-eum
톳무침,tos-muchim
요거트,yogurt
닭구이,dalg-gu-i
회오리감자,hoeoligamja
아이스크림,icecream
볶음밥,bokk-eumbab
볶음우동,bokk-eum-udong
조개탕,jogaetang
델리만쥬,dellimanjyu
빼빼로,ppaeppaelo
냉이무침,naengi-muchim
닭죽,dalg-jug
미역초무침,miyeogchomuchim
감자국,gamjagug
꽁치김치찌개,kkongchigimchijjigae
부추전,buchujeon
단무지무침,danmuji-muchim
꽈리고추볶음,kkwaligochu-bokk-eum
계란국,gyelangug
얼갈이배추무침,eolgal-ibaechumuchim
보리밥,bolibab
브로콜리볶음,beulokollibokk-eum
월남쌈,wolnamssam
우엉볶음,ueongbokk-eum
생선가스,saengseongaseu
꼬치산적,kkochisanjeog
마늘햄볶음,maneulhaembokk-eum
배추볶음,baechubokk-eum
칠리소스,chillisoseu
고추냉이,gochunaeng-i
팔보채,palbochae
유산슬,yusanseul
짜사이(자차이),jjasai
오향장육,ohyangjang-yug
크림새우,keulimsaeu
골뱅이무침,golbaeng-i-muchim
춘장,chunjang
오징어입,ojing-eoib
유린기,yulingi
양장피,yangjangpi
햄,haem
닭꼬치,dalgkkochi
머스타드,meoseutadeu
후르츠칵테일,huleucheukagteil
알배추,albaechu
인절미,injeolmi
울면,ulmyeon
크림떡볶이,keulimtteogbokk-i
과일샐러드,gwailsaelleodeu
양념족발,sauce-pork
돼지껍데기,dwaejikkeobdegi
빠네,ppane
마요네즈,mayonejeu
해물파전,haemulpajeon
진미채볶음,jinmichaebokk-eum
버섯,beoseos
콜라,kolla
바질,bajil
맥주,maegju
칠리소스,chillisoseu
바질가루,bajilgalu
돼지귀,dwaeji-gwi
무피클,mupikeul
와사비,wasabi
연어아보카도샐러드,yeon-eoabokadosaelleodeu
마늘구이,grilled-garlic
수비드통닭,subideutongdalg
타코,Tacos
오징어먹물리조또,ojing-eomeogmullijotto
꿀,kkul
문어빵,mun-eoppang
영양찰떡,yeong-yangchaltteog
깻잎전,kkaes-ipjeon
한과,hangwa
콩나물,kongnamulgug
마늘소스,garlic-sauce
수수떡,susutteog
간장소스,soy sauce
샐러리,saelleoli
증편,jeungpyeon
올리브절임,ollibeujeol-im
필라프,pillapeu
연어피자,yeon-eopija
와인,wain
쑥개떡,ssuggatteog
퀘사디아,kwesadia
대추,daechu
오디,odi
오징어링,ojing-eoling
곤드레나물,gondeule-namul
홍시,hongsi
자두,jadu
계란지단,gyelanjidan
체리,cherry
당면,dangmyeon
크림리조또,keulimlijotto
오징어회,ojing-eohoe
삼색전,samsaegjeon
새송이버섯전,saesong-ibeoseosjeon
김치국,gimchigug
돈가스소스,dongaseusoseu
미역냉국,miyeognaeng-gug
두릅,duleub
가라아게동,galaagedong
미트볼,miteubol
돼지고기돈부리,dwaejigogi donbuli
견인차,tow_truck
세단,sedan
박스트럭,box_truck
트럭,truck
해치백,hatchback
승합차,vans
서브,suv
버스,bus
택시,taxi
경찰차,police_car
스쿨버스,school_bus
응급차,ambulance
픽업트럭,pickup_truck
소방차,fire_engine
믹서트럭,mixer_truck
쿠페,coupe
주유소탱크,tank_lorry
캠핑카,camping_car
오픝카,convertible
